VDD charges (in unit me):
fa_acid_amide_cs
 Frag   Atom   Total   AA     AAA 
  1      1C    +19     +1    +18  
  1      2O     -8    -49    +41  
  1     3Se    -68     -5    -63  
  2      4O    -34    +27    -61  
  2      5C    +10     +3     +8  
  2      6H     +6     +5     +1  
  2      7H     +2     -2     +4  
  2      8H    +44    +41     +3  
  2      9N     -4    -46    +42  
  1     10H    +32    +31     +1  
  1     11H     +1     -6     +6  

fa_squaramide_se_cs
 Frag   Atom   Total   AA     AAA 
  1      1C     -40    -10    -30 
  1     2Se    -165    -30   -134 
  1      3C     -40    -10    -30 
  1     4Se    -165    -30   -134 
  1      5C     +26   +122    -96 
  1      6C     +26   +122    -96 
  2      7N     +62    -88   +150 
  2      8H     +53     -2    +55 
  2      9H     +63     +7    +56 
  2     10N     +62    -88   +150 
  2     11H     +63     +7    +56 
  2     12H     +53     -2    +55 

fa_donor_acceptor_nosym
 Frag   Atom   Total
  1      1C     +0  
  1      2C     +0  
  1      3C     -0  
  1      4C     -0  
  1      5H     +1  
  1      6H     +1  
  1      7H     +1  
  1      8H     +0  
  1      9H     +1  
  1     10H     +2  
  1     11H     +1  
  2     12O     -1  
  1     13O     -2  
  1     14N    -13  
  2     15H     +6  
  2     16H     -7  
  2     17H     -9  
  1     18H    +20  

geo_nosym
 Frag   Atom   Total
   1     1C    -105 
   5     2H     +67 
  11     3H     +68 
  16     4H     +55 
  17     5C    +166 
  18     6O    -291 
  19     7N    -116 
  20     8H    +158 
  21     9N     -84 
   2    10H    +165 
   3    11C    +213 
   4    12O    -253 
   8    13N    -235 
  10    14H     +54 
  14    15H     +59 
  15    16C     +45 
  22    17C     -68 
  23    18C     -50 
  24    19C     -59 
  25    20C     -53 
   6    21C     -64 
  12    22H     +65 
   7    23H     +52 
   9    24H     +48 
  13    25H    +164 

